root_V left_tip_V right_tip_V middle_V root_AMPA_open middle_AMPA_Open smooth_AMPA_Open t
-0.06 -0.06 -0.06 -0.06 0.0 0.0 0.0 0.0
-0.0600022558973548 -0.060002157918292456 -0.0600028766306381 -0.06000306338027077 0.0 0.0 0.0 0.0002
-0.06000455839049248 -0.060004528259021965 -0.0600055407996483 -0.06000607694709372 0.0 0.0 0.0 0.0004
-0.06000694883592285 -0.060006954543497505 -0.06000812018086073 -0.0600088589309126 0.0 0.0 0.0 0.0006000000000000001
-0.060009382888213524 -0.0600094077237077 -0.06001065470324481 -0.060011504308123687 0.0 0.0 0.0 0.0008
-0.06001183755151799 -0.0600118727102937 -0.06001316242935565 -0.060014071553496806 0.0 0.0 0.0 0.001
-0.06001430057657363 -0.06001434130280171 -0.06001565278428168 -0.0600165932681537 0.0 0.0 0.0 0.0012000000000000001
-0.06001676533160403 -0.060016809038398414 -0.06001813085745468 -0.060019087327066775 0.0 0.0 0.0 0.0014
-0.06001922821316373 -0.06001927349099365 -0.060020599423344916 -0.06002156349585273 0.0 0.0 0.0 0.0016
-0.060021687264293376 -0.060021733344867205 -0.06002306000075297 -0.06002402710785191 0.0 0.0 0.0 0.0018000000000000002
-0.060024141425122884 -0.060024187889684985 -0.06002551342469788 -0.06002648107828572 0.0 0.0 0.0 0.002
-0.06002659012481165 -0.06002663674517529 -0.06002796015747229 -0.060028927003703325 0.0 0.0 0.0 0.0022
-0.06002903305912988 -0.06002907971101265 -0.06003040045814072 -0.06003136576161392 0.0 0.0 0.0 0.0024000000000000002
-0.06003147006919633 -0.06003151668496828 -0.0600328344749436 -0.06003379783745431 0.0 0.0 0.0 0.0026000000000000003
-0.06003390107536214 -0.06003394761828231 -0.060035262295678064 -0.06003622350286867 0.0 0.0 0.0 0.0028
-0.060036326041161846 -0.06003637249133095 -0.06003768397516754 -0.060038642912914775 0.0 0.0 0.0 0.003
-0.06003874495365791 -0.06003879130035914 -0.060040099550239305 -0.06004105615906507 0.0 0.0 0.0 0.0032
-0.06004115781272384 -0.06004120405024667 -0.06004250904789095 -0.06004346329810511 0.0 0.0 0.0 0.0034000000000000002
-0.0600435646252008 -0.06004361075056409 -0.06004491248974319 -0.06004586436789041 0.0 0.0 0.0 0.0036000000000000003
-0.06004596540171174 -0.06004601141342213 -0.06004730989446766 -0.060048259395937664 0.0 0.0 0.0 0.0038
-0.060048360154924284 -0.06004840605229931 -0.060049701279110794 -0.06005064840410914 0.0 0.0 0.0 0.004
-0.06005074889860363 -0.06005079468140263 -0.06005208665981563 -0.06005303141116687 0.0 0.0 0.0 0.004200000000000001
-0.06005313164709622 -0.0600531773153191 -0.060054466052215476 -0.06005540843416533 0.0 0.0 0.0 0.0044
-0.0600555084150482 -0.060055553968825705 -0.06005683947164852 -0.06005777948921082 0.0 0.0 0.0 0.0046
-0.06005787921725208 -0.060057924656785944 -0.060059206933275 -0.06006014459187558 0.0 0.0 0.0 0.0048000000000000004
-0.060060244068562994 -0.06006028939409336 -0.060061568452141015 -0.0600625037574236 0.0 0.0 0.0 0.005
-0.060062602983853276 -0.060062648195640875 -0.0600639240432134 -0.060064857000933815 0.0 0.0 0.0 0.005200000000000001
-0.06006495597798754 -0.06006500107630402 -0.06006627372139887 -0.06006720433736727 0.0 0.0 0.0 0.0054
-0.06006730306580931 -0.06006734805093193 -0.06006861750155433 -0.06006954578160385 0.0 0.0 0.0 0.0056
-0.06006964426213366 -0.06006968913434244 -0.06007095539849271 -0.06007188134846229 0.0 0.0 0.0 0.0058000000000000005
-0.06007197958174326 -0.06007202434131938 -0.0600732874269861 -0.060074211052711164 0.0 0.0 0.0 0.006
-0.060074309039386355 -0.060074353686611306 -0.06007561360176746 -0.06007653490907489 0.0 0.0 0.0 0.006200000000000001
-0.06007663264977554 -0.06007667718493068 -0.06007793393753172 -0.0600788529322371 0.0 0.0 0.0 0.0064
-0.060078950427587284 -0.060078994850953554 -0.06008024844893633 -0.060081165136842425 0.0 0.0 0.0 0.0066
-0.06008126238746165 -0.06008130669931946 -0.06008255715060161 -0.06008347153749763 0.0 0.0 0.0 0.0068000000000000005
-0.06008356854400217 -0.06008361274463131 -0.060084860057111 -0.06008577214877215 0.0 0.0 0.0 0.007
-0.06008586891177585 -0.060085913001455465 -0.06008715718301126 -0.06008806698519853 0.0 0.0 0.0 0.007200000000000001
-0.06008816350531321 -0.060088207484321754 -0.06008944854281255 -0.06009035606127265 0.0 0.0 0.0 0.0074
