root_V left_tip_V right_tip_V middle_V root_AMPA_open middle_AMPA_Open smooth_AMPA_Open t
-0.06 -0.06 -0.06 -0.06 0.0 0.0 0.0 0.0
-0.06000378588828618 -0.06000378560046978 -0.06000378492403449 -0.06000378399543918 0.0 0.0 0.0 0.0002
-0.06000989432497288 -0.060009894966516694 -0.06000989618464084 -0.06000989852313895 0.0 0.0 0.0 0.0004
-0.060012324506597284 -0.060012324390631054 -0.060012324055162485 -0.06001232376742231 0.0 0.0 0.0 0.0006000000000000001
-0.06001588949928947 -0.060015889138643995 -0.060015888285598416 -0.060015887222345445 0.0 0.0 0.0 0.0008
-0.06002146288668601 -0.060021462742668015 -0.06002146249156088 -0.06002146168639685 0.0 0.0 0.0 0.001
-0.06002606612399203 -0.06002606670961307 -0.06002606782119872 -0.06002606984118826 0.0 0.0 0.0 0.0012000000000000001
-0.06003055189261271 -0.06003055909687218 -0.06003057400754513 -0.060030597370466204 0.0 0.0 0.0 0.0014
-0.06003961581326577 -0.06003947501210044 -0.06003930430120872 -0.06003913539765197 0.0 0.0 0.0 0.0016
-0.060041071413992904 -0.06004107186063233 -0.06004107251410892 -0.06004107411686236 0.0 0.0 0.0 0.0018000000000000002
-0.06004501802052909 -0.06004502012943093 -0.060045024624960204 -0.06004503082116831 0.0 0.0 0.0 0.002
