root_V left_tip_V right_tip_V middle_V root_AMPA_open middle_AMPA_Open smooth_AMPA_Open t
-0.06 -0.06 -0.06 -0.06 0.0 0.0 0.0 0.0
-0.06000269334197703 -0.06000258059500491 -0.06000224829748484 -0.060002409626904056 0.0 0.0 0.0 0.0002
-0.060005252413340426 -0.06000511245886165 -0.060004704004436415 -0.060004831590335046 0.0 0.0 0.0 0.0004
-0.060007774130046 -0.060007625487262545 -0.06000718328020371 -0.060007273552059266 0.0 0.0 0.0 0.0006000000000000001
-0.060010277751824936 -0.06001012526937425 -0.060009666228104656 -0.06000973344470646 0.0 0.0 0.0 0.0008
-0.06001276930649523 -0.06001261500373549 -0.060012147466151834 -0.06001220170402883 0.0 0.0 0.0 0.001
-0.06001525153663277 -0.06001509643227653 -0.06001462482428515 -0.06001467189068036 0.0 0.0 0.0 0.0012000000000000001
-0.060017725872047796 -0.06001757051027407 -0.060017097228382055 -0.06001714033275232 0.0 0.0 0.0 0.0014
-0.060020193089887236 -0.060020037765588924 -0.06001956411341931 -0.060019605012079855 0.0 0.0 0.0 0.0016
-0.060022653619787106 -0.06002249849316778 -0.060022025180123346 -0.0600220648319155 0.0 0.0 0.0 0.0018000000000000002
-0.06002510770295854 -0.060024952860929105 -0.060024480272553846 -0.060024519200685814 0.0 0.0 0.0 0.002
-0.06002755547797248 -0.06002740096749088 -0.060026929312718406 -0.060026967802695494 0.0 0.0 0.0 0.0022
-0.06002999702741809 -0.06002984287365427 -0.06002937226509453 -0.06002941047275563 0.0 0.0 0.0 0.0024000000000000002
-0.060032432403334585 -0.06003227861957575 -0.06003180911730326 -0.06003184712775929 0.0 0.0 0.0 0.0026000000000000003
-0.060034861641080614 -0.0600347082341338 -0.06003423986957123 -0.06003427772935421 0.0 0.0 0.0 0.0028
-0.06003728476689899 -0.06003713174003771 -0.06003666452898307 -0.060036702263582015 0.0 0.0 0.0 0.003
-0.06003970180204287 -0.06003954915661442 -0.06003908310634664 -0.060039120729772404 0.0 0.0 0.0 0.0032
-0.060042112765026426 -0.06004196050132855 -0.06004149561448322 -0.06004153313448566 0.0 0.0 0.0 0.0034000000000000002
-0.060044517672852425 -0.06004436579061147 -0.06004390206729486 -0.06004393948820853 0.0 0.0 0.0 0.0036000000000000003
-0.06004691654168196 -0.06004676504031372 -0.06004630247925579 -0.060046339803552104 0.0 0.0 0.0 0.0038
-0.06003229226275984 -0.060042738005596015 -0.06004762359534406 -0.060048656195569046 0.0 0.0 0.0 0.004
-0.06004048640180655 -0.06004319059779682 -0.06004700659551456 -0.060049803616552835 0.0 0.0 0.0 0.004200000000000001
-0.060045486931652244 -0.06004593883423775 -0.060047747387555174 -0.0600502054544491 0.0 0.0 0.0 0.0044
-0.06004865666375018 -0.06004878157859076 -0.060049494202172204 -0.060051023290035525 0.0 0.0 0.0 0.0046
-0.060051421581157824 -0.06005141499723609 -0.06005158592338499 -0.060052460643527907 0.0 0.0 0.0 0.0048000000000000004
-0.06005400277386658 -0.06005393020191403 -0.06005381417083248 -0.06005431128603801 0.0 0.0 0.0 0.005
-0.060056485975712455 -0.0600563783185359 -0.06005610737066621 -0.06005639569425475 0.0 0.0 0.0 0.005200000000000001
-0.060058913682810355 -0.06005878715790576 -0.06005843237740781 -0.060058606399761204 0.0 0.0 0.0 0.0054
-0.060061308513636745 -0.06006117188084476 -0.060060771913239296 -0.06006088349810557 0.0 0.0 0.0 0.0056
-0.060065259843247815 -0.060076039200972486 -0.060217561864487776 -0.06017158450680242 0.0 0.0 0.0 0.0058000000000000005
-0.06009469724545088 -0.06010696075212548 -0.06015479512342721 -0.0601983491203813 0.0 0.0 0.0 0.006
-0.06011305646579989 -0.060118634882426004 -0.06014218229804187 -0.060171784767452254 0.0 0.0 0.0 0.006200000000000001
-0.06012301980611172 -0.060125816053411656 -0.06013818446793444 -0.060155075550992525 0.0 0.0 0.0 0.0064
-0.06012927628485836 -0.060130713666048066 -0.06013723184585388 -0.06014655743671225 0.0 0.0 0.0 0.0066
-0.06023119238227733 -0.060301399245935375 -0.060363213779892434 -0.06020374792650182 0.0 0.0 0.0 0.0068000000000000005
-0.0602905696003805 -0.06029792492412475 -0.06030848949150817 -0.060284773968855614 0.0 0.0 0.0 0.007
-0.06029900031736763 -0.06029995496121711 -0.06030159653549836 -0.060299025815777375 0.0 0.0 0.0 0.007200000000000001
-0.060301777847480816 -0.06030186883601866 -0.06030206001090716 -0.060302091582487435 0.0 0.0 0.0 0.0074
-0.060303749943649065 -0.06030369887117971 -0.060303575758322854 -0.060303796787526245 0.0 0.0 0.0 0.0076
-0.06030557261185546 -0.06030548795068477 -0.06030525809634498 -0.06030541670591369 0.0 0.0 0.0 0.0078000000000000005
-0.06030735075250458 -0.060307253769256206 -0.06030697471955847 -0.06030707697990113 0.0 0.0 0.0 0.008
-0.0603091078526398 -0.060309005062481574 -0.06030870072293955 -0.06030876922486701 0.0 0.0 0.0 0.0082
-0.06031085220038763 -0.060310746473789596 -0.060310428877461186 -0.06031047853323851 0.0 0.0 0.0 0.008400000000000001
-0.06031258771327207 -0.06031248052387421 -0.06031215609816474 -0.060312195389666395 0.0 0.0 0.0 0.0086
-0.06031431645135037 -0.060314208590308976 -0.06031388082193259 -0.060313914422390896 0.0 0.0 0.0 0.0088
-0.06032053009006856 -0.06033908114903578 -0.060417696600450245 -0.06034144107203837 0.0 0.0 0.0 0.009000000000000001
-0.060346908445424854 -0.060353476796218414 -0.06037238166009666 -0.060376981425352944 0.0 0.0 0.0 0.0092
