root_V left_tip_V right_tip_V middle_V root_AMPA_open middle_AMPA_Open smooth_AMPA_Open t
-0.06 -0.06 -0.06 -0.06 0.0 0.0 0.0 0.0
-0.060002682920691344 -0.06000267422547247 -0.06000243157645243 -0.06000198273094603 0.0 0.0 0.0 0.0002
-0.060005302384548716 -0.060005258388830474 -0.06000486973762733 -0.06000417085243599 0.0 0.0 0.0 0.0004
-0.06000786377230087 -0.06000779918639495 -0.06000733130979808 -0.06000649767739346 0.0 0.0 0.0 0.0006000000000000001
-0.060010389650407364 -0.060010313857822156 -0.06000980331473514 -0.06000889748233675 0.0 0.0 0.0 0.0008
-0.06001289325951706 -0.060012811445721514 -0.060012278249614054 -0.06001133417878743 0.0 0.0 0.0 0.001
-0.06006331710710623 -0.060071865878749846 -0.06006906503421809 -0.06002951010875804 0.0 0.0 0.0 0.0012000000000000001
-0.06007061422696654 -0.060070064665760405 -0.06006537270796092 -0.06005174315982022 0.0 0.0 0.0 0.0014
-0.060071792933400835 -0.06007105021503634 -0.06006770135375223 -0.060061222649821805 0.0 0.0 0.0 0.0016
-0.0600731448976015 -0.06007265163831425 -0.060070509131187694 -0.060066740654443035 0.0 0.0 0.0 0.0018000000000000002
-0.060074893798180866 -0.06007458005887624 -0.06007316192869991 -0.060070709210007386 0.0 0.0 0.0 0.002
-0.06007689502314561 -0.06007668508115338 -0.06007567165703501 -0.06007391587698536 0.0 0.0 0.0 0.0022
-0.0600790364033964 -0.0600788839667005 -0.0600780931686377 -0.06007671578686235 0.0 0.0 0.0 0.0024000000000000002
-0.060081252313306216 -0.060081131454594226 -0.06008046289641773 -0.06007929265729754 0.0 0.0 0.0 0.0026000000000000003
-0.06008350635532958 -0.0600834028367474 -0.060082801599742684 -0.06008174539351323 0.0 0.0 0.0 0.0028
-0.06008577859476 -0.0600856846346455 -0.06008512073036265 -0.0600841277918025 0.0 0.0 0.0 0.003
-0.060088058149366755 -0.06008796949951372 -0.06008742655965142 -0.06008646919037107 0.0 0.0 0.0 0.0032
-0.060090339085982394 -0.060090253427744086 -0.060089722518501504 -0.06008878560203319 0.0 0.0 0.0 0.0034000000000000002
-0.06009261817330959 -0.060092534241164196 -0.06009201048594839 -0.06009108577091235 0.0 0.0 0.0 0.0036000000000000003
