root_V left_tip_V right_tip_V middle_V root_AMPA_open middle_AMPA_Open smooth_AMPA_Open t
-0.06 -0.06 -0.06 -0.06 0.0 0.0 0.0 0.0
-0.060002480093257995 -0.060002486202271776 -0.0600025698959986 -0.0600024808960367 0.0 0.0 0.0 0.0002
-0.060004968970780045 -0.060004981837268136 -0.06000508877044834 -0.06000501106094486 0.0 0.0 0.0 0.0004
-0.06000745989993157 -0.06000747540475157 -0.06000759262621819 -0.060007526738496145 0.0 0.0 0.0 0.0006000000000000001
-0.06000994809614636 -0.06000996484265869 -0.060010087256152964 -0.06001002857457499 0.0 0.0 0.0 0.0008
-0.06001243180728398 -0.060012449185970484 -0.060012574248882115 -0.06001251964825902 0.0 0.0 0.0 0.001
-0.06001491022199204 -0.060014927921552726 -0.06001505427856191 -0.06001500197329153 0.0 0.0 0.0 0.0012000000000000001
-0.06001738292362744 -0.06001740077714887 -0.06001752769348516 -0.06001747669855635 0.0 0.0 0.0 0.0014
-0.060019849694530045 -0.06001986761139475 -0.060019994687166726 -0.060019944463657236 0.0 0.0 0.0 0.0016
-0.060022310423370806 -0.06002232835424959 -0.06002245537175556 -0.06002240562534406 0.0 0.0 0.0 0.0018000000000000002
-0.06002476505651205 -0.060024782974553985 -0.060024909815411295 -0.06002486038537659 0.0 0.0 0.0 0.002
-0.060027213571729604 -0.060027231462339736 -0.06002735806233514 -0.06002730886085852 0.0 0.0 0.0 0.0022
-0.06002965596391264 -0.06002967381918076 -0.06002980014364857 -0.06002975112268351 0.0 0.0 0.0 0.0024000000000000002
-0.0600320922372674 -0.06003211005292963 -0.060032236083321464 -0.06003218721651807 0.0 0.0 0.0 0.0026000000000000003
-0.060034522401065035 -0.06003454017484645 -0.06003466590140501 -0.06003461717424944 0.0 0.0 0.0 0.0028
-0.060036946467322036 -0.060036964198032554 -0.06003708961579529 -0.06003704102023069 0.0 0.0 0.0 0.003
-0.06003936444953496 -0.06003938213657621 -0.060039507243195206 -0.06003945877468743 0.0 0.0 0.0 0.0032
-0.06004177636199062 -0.06004179400508676 -0.06004191879963945 -0.060041870455576254 0.0 0.0 0.0 0.0034000000000000002
-0.06004418221938909 -0.06004419981844021 -0.06004432430078073 -0.06004427607959873 0.0 0.0 0.0 0.0036000000000000003
-0.060046582036638846 -0.06004659959164084 -0.06004672376204609 -0.06004667566275439 0.0 0.0 0.0 0.0038
-0.06004897582874469 -0.06004899333974559 -0.06004911719872218 -0.06004906922064249 0.0 0.0 0.0 0.004
-0.060051363610746665 -0.06005138107782281 -0.06005150462600178 -0.06005145676862669 0.0 0.0 0.0 0.004200000000000001
-0.06005374539768683 -0.060053762820929904 -0.06005388605900931 -0.06005383832192497 0.0 0.0 0.0 0.0044
-0.06005612120459122 -0.06005613858410113 -0.060056261512814665 -0.06005621389565867 0.0 0.0 0.0 0.0046
-0.06005849104646009 -0.060058508382341044 -0.060058631002440924 -0.06005858350487919 0.0 0.0 0.0 0.0048000000000000004
-0.06010295854697072 -0.06010343987521226 -0.060093212196303904 -0.06007227767256357 0.0 0.0 0.0 0.005
-0.06010384647297026 -0.060102657437582245 -0.060096654994244686 -0.06008708425561525 0.0 0.0 0.0 0.005200000000000001
-0.06010428515688378 -0.06010353779548426 -0.06010018466852599 -0.06009529027960965 0.0 0.0 0.0 0.0054
-0.06010545493422107 -0.060105041764899544 -0.060103246831674714 -0.06010060462056207 0.0 0.0 0.0 0.0056
-0.06010710078894859 -0.06010688114073613 -0.060105952210051425 -0.06010449693751157 0.0 0.0 0.0 0.0058000000000000005
